index,x,y,Expected_x,Expected_y,Left_PWM,Right_PWM,dt,X_Velocity_m_s_,Y_Velocity_m_s_,X_Accel_m_s2_,Y_Accel_m_s2_
50474,0.5915047190408326,0.8540286950111219,0.5940885647144993,0.8531907101657157,0.4453444013794367,-0.9855922116763818,0.8010650959807122,2.4812715696402803,1.5142335964299378,24.811676267385153,-5.131987347197453
50475,0.5934018982512894,0.8553651539658804,0.5962248603778191,0.8545258949552905,0.4422894985808894,-0.9999938962981048,0.7934659871211891,2.5009587908419126,1.5101615390236003,24.811676267385153,-5.131987347197453
50476,0.5954618976409192,0.8563951536606953,0.598437452314829,0.8559373760185554,0.390524002807703,-0.9999938962981048,0.8087099826044496,2.521024241124497,1.506011249625322,24.811676267385153,-5.131987347197453
50477,0.5975600451673941,0.8576540421765801,0.6006500442518388,0.8573107089449752,0.3696432386242256,-0.9999938962981048,0.8010650959807122,2.540900008955072,1.5019001936884675,24.811676267385153,-5.131987347197453
50478,0.5998489333780939,0.85910367137669,0.6028244880520035,0.858684041871395,0.8431531723990602,-0.5869441816461685,0.8926206244087038,2.563047422917492,1.4973192759381546,24.811676267385153,-5.131987347197453
50479,0.6020233771782586,0.8602481154820398,0.6054185613574632,0.8602862636188848,0.8004852443006685,-0.711825922421949,0.9155095065157016,2.585762748412873,1.492620892734477,24.811676267385153,-5.131987347197453
50480,0.6045793023468733,0.8617358928189947,0.6079744865260781,0.8618121890926846,0.7986388744773707,-0.6849360637226478,0.9079103976561784,2.608289527279311,1.4879615080613164,24.811676267385153,-5.131987347197453
50481,0.6070207831049532,0.8631855220191047,0.6105685598315378,0.8632999664296397,0.8027344584490494,-0.690173039948729,0.9155095065157016,2.631004852774692,1.483263124857639,24.811676267385153,-5.131987347197453
50482,0.6099581896420179,0.8647877437665945,0.6131626331369975,0.8647877437665945,0.7876277962584308,-0.5730124820703757,1.121509445478683,2.658831382066724,1.4775075525736798,24.811676267385153,-5.131987347197453
50483,0.6130863368633075,0.8665044099246193,0.6196478164006469,0.8678395947141941,0.1805413983581041,-0.9999938962981048,1.151997436445204,2.68741436952066,1.4715955163058392,24.811676267385153,-5.131987347197453
50484,0.6151463362529372,0.8676107058931242,0.6218222602008119,0.869022186956389,0.1682546464430678,-0.9999938962981048,0.7781762138737145,2.706722225818274,1.4676019258223492,24.811676267385153,-5.131987347197453
50485,0.6171681875057222,0.868678853724784,0.6241111484115116,0.8701666310617389,0.1719809564500869,-0.9999938962981048,0.7857753227332377,2.726218628744831,1.4635693368083422,24.811676267385153,-5.131987347197453
50486,0.619304483169042,0.8698232978301339,0.6265144810327463,0.8713873714407787,0.1767143772698143,-0.9999938962981048,0.8010650959807122,2.7460943965754065,1.4594582808714878,24.811676267385153,-5.131987347197453
50487,0.6215552232428969,0.8710058900723288,0.628917813653981,0.8726081118198188,0.1840998565630054,-0.9999938962981048,0.7857753227332377,2.7655907995019637,1.4554256918574808,24.811676267385153,-5.131987347197453
50488,0.6239204077272866,0.8723410748619036,0.631282998138371,0.8738288521988586,0.999993896298105,-0.7796716208380383,0.8926206244087038,,,,
50489,0.6262092959379864,0.8736762596514787,0.6339533677175206,0.8752021851252785,0.999993896298105,-0.7794366283150731,0.9079103976561784,,,,
50490,0.628994109927671,0.8748588518936735,0.6367763298440505,0.8765755180516983,0.9838465529343544,-0.7538224433118687,0.9079103976561784,,,,
50491,0.6317026276436659,0.8759651478621784,0.6395611438337352,0.8779107028412731,0.9327524643696404,-0.7519425031281473,0.9155095065157016,,,,
50492,0.6342967009491256,0.8771477401043732,0.6423841059602649,0.879169591357158,0.9383922849208046,-0.7417706839197975,0.9155095065157016,,,,
50493,0.6369670705282755,0.8783303323465681,0.6452070680867945,0.8803903317361979,0.9420514542069768,-0.7232734153263956,0.9155095065157016,,,,
50494,0.6396374401074252,0.879551072725608,0.6479918820764794,0.8814966277047027,0.9735068819238872,-0.6569048127689444,0.9155095065157016,,,,
50495,0.6423841059602649,0.8807336649678028,0.6508911404766993,0.882564775536363,0.9992889187292092,-0.5933225501266518,0.9155095065157016,,,,
50496,0.6452452162236395,0.8818781090731531,0.6537903988769189,0.8835184789574879,0.999993896298105,-0.5253761406292917,0.9231543931394393,,,,
50497,0.6478392895290994,0.882984405041658,0.6566133610034486,0.8843958861049228,0.999993896298105,-0.4706228827784052,0.9079103976561784,,,,
50498,0.6505096591082493,0.8840907010101628,0.6594744712668235,0.8852351451155127,0.999993896298105,-0.4114047669911802,0.9155095065157016,,,,
50499,0.653180028687399,0.8851207007049777,0.6623355815301981,0.8859599597155676,0.999993896298105,-0.3438947721793267,0.9079103976561784,,,,
50500,0.6558885464033937,0.8859981078524126,0.6651966917935728,0.8866084780419325,0.999993896298105,-0.3053559984130375,0.9079103976561784,,,,
50501,0.6588259529404583,0.8870281075472275,0.6680959501937924,0.8872188482314525,0.5523667104098635,0.5332316049684134,1.014709921567431,,,,
50502,0.6618015076143682,0.8880581072420424,0.6713385418256173,0.8877910702841274,0.6378368480483414,0.6033936582537309,1.0375988036744286,,,,
50503,0.6657689138462477,0.8893169957579272,0.674962614825892,0.8883632923368023,0.6683523056733911,0.8030030213324384,1.3198644978179266,,,,
50504,0.6688207647938473,0.8901562547685171,0.6779763176366467,0.8880199591051974,0.0232306894131291,0.0632465590380564,1.045243690298166,,,,
50505,0.6709952085940123,0.8905377361369671,0.6803033539841914,0.8885540330210273,-0.0365245521408734,-0.0061433759575182,0.7781762138737145,,,,
