x,y,time
0.485415778323772,0.515383636801183,0
0.485575080476505,0.515127409807209,0.000797265541550951
0.485733623437766,0.514877890312158,0.00159073152867214
0.48589648931456,0.514629511619502,0.00239179662465285
0.486078629741067,0.514378705046244,0.0032005066072573
0.486259048360077,0.514126580527984,0.00400157170323801
0.48644634834449,0.513866559408239,0.00480263679921873
0.486650734608741,0.513593547429206,0.00560754722739341
0.486854144449959,0.513307532304231,0.00640861232337413
0.487134247850437,0.512900070398544,0.00748054445020905
0.487433856521741,0.512443114860338,0.00856772057252724
0.487654563723735,0.512053113522844,0.00935349589526048
0.487874157724665,0.511602203457083,0.0101469618823817
0.488088291622522,0.511101051621483,0.0109404278695029
0.488296013930439,0.510547272820523,0.0117414929654836
0.488491913978174,0.50994455566795,0.0125349589526048
0.488679300232914,0.509288814024323,0.0133360240485855
0.488855113156828,0.508594583575693,0.0141409344767602
0.489020595453365,0.507862164154065,0.0149382000183111
0.489174913760174,0.507083269670754,0.0157392651142918
0.489317661609475,0.506274385154415,0.0165403302102725
0.489455213720723,0.505424837147468,0.017349040192877
0.489578577824394,0.504542544274184,0.0181539506210517
0.489694767973451,0.503643882197556,0.0189512161626026
0.489797624730399,0.502717439001964,0.0197599261452071
0.489899998236423,0.50177250657206,0.0205648365733818
0.489981120363059,0.500812782191937,0.0213659016693625
0.490060468832429,0.49984653285053,0.0221669667653432
0.490119949923408,0.49886199001197,0.0229756767479476
0.490174355999233,0.497873632244649,0.0237767418439283
0.490211014595146,0.496879788442705,0.024577806939909
0.490238106873183,0.495872467362882,0.0253903164769433
0.490255796941585,0.494637191075458,0.0263821375164037
0.490255364879526,0.493480290441592,0.0273090914639729
0.49023496646335,0.492164110924633,0.0283619342631306
0.490207520066372,0.491189688363102,0.0291401104770043
0.490179670022165,0.490207111646277,0.0299297311319315
0.490128440485839,0.48922920842628,0.0307231971190527
0.490068472277429,0.488247348490239,0.0315281075472274
0.49000935671374,0.487290609870565,0.0323215735343486
0.489930724826306,0.486334798724381,0.0331226386303293
0.489836374959898,0.485376631084981,0.0339313486129337
0.489743360283494,0.484436159833734,0.0347286141544847
0.489636036750751,0.483488376836071,0.0355335245826594
